icao24;typecode
a7dab5;CL65
392dd3;CP21
e401b9;E190
484d3c;BALL
aa8eca;BE33
458967;P28R
15069c;CL64
4036d3;ULAC
4066d1;B738
3d3eed;PZ04
c08550;E50P
a0807e;B190
0b4006;BE20
86e7de;B788
1456be;MI8
14b6f2;AN24
4849e6;R100
448e74;EC20
40460f;ULAC
ab43ae;H25B
401276;C500
404274;ULAC
00a06f;FA50
a709fb;ST75
009d0b;BE9L
406bf0;SF25
a6e458;PC12
e49134;C525
48b0e9;BE9L
a04427;C25C
473442;C172
a2fb32;B737
789217;A35K
405d58;CRUZ
404a4e;EN28
ae1d5a;P3
403f58;P28A
399aa8;BALL
a634d5;ALO3
3d12fb;C172
44bcac;R22
401da6;PPRO
3ed3b8;DG1T
c87f0a;P3
a0bf1e;B47J
508388;A321
0ac1a5;Y12
3e7d75;DG40
aadedb;LJ31
3d3911;C172
781008;B789
ab290f;R66
a5a100;FA62
ae1d03;P3
43e9c1;C25C
4b4d57;G103
3ee209;GLID
4055c3;GLID
3d2ddf;DV20
3eead5;GLID
4037c3;DR40
a985ba;ZERO
3d12a4;BE33
399523;BALL
506f62;PC9
c03592;B06
3f014f;GLID
3d24a2;P28T
392d21;ALO2
ad96f5;AS50
a71d1f;ST75
a3b8c6;L39
adfcb5;BE40
403166;C172
3ee96e;GLID
75812f;B407
7c02b1;AC90
401821;UNDEFINED
a40a05;MU2
48b08e;EM11
a9c191;EN28
ae132f;A6
402aef;P28A
a63836;LJ60
e48026;BE40
a8f3b3;UH1
ad8496;BE20
3ef2ff;GLID
395707;R22
7502cd;A333
a05119;GAZL
a1dc4b;M600
3d465a;C210
a26fc9;B737
8963a1;B77L
4ad658;GLID
c8182f;R22
3f27ff;BALL
a52e91;GLEX
3ee917;SHIP
00ae15;B407
403003;C152
3ee80b;GLID
4b3363;C172
3f2822;BALL
3fedc9;JK05
7802a7;B737
3ef2a8;GLID
50822b;E145
3849eb;DR30
4b3ff6;FOX
4b2cec;DWD2
c054e3;DH8D
3fecbd;ULAC
385581;DR40
ae1952;A10
3c4dc9;CRJ9
a83d28;ASTR
aa5bd0;GLF5
406fc2;GLID
a3b86b;L39
4aadc3;P28A
c08134;BCS1
c01286;DH3T
a36263;EA55
a899a2;B763
4010fb;AS55
4406d7;BE23
3e5cb3;DG50
405e4e;MCR1
e47fd2;BE9L
a86347;A109
a0ebd9;C25C
e0c3cf;H500
8a0604;A320
463cfe;ZZZZ
4954a2;ULAC
a5de85;FA62
3844d9;P28R
405d63;PNR2
abcf19;C560
3d2d2d;PTS2
c002d2;B214
750293;A388
401911;JT2
3fa994;LYNX
3935b1;DR40
4059ec;VENT
43e899;GL5T
c815e5;EC20
040126;B788
401db1;C152
3d29d7;C172
3c4844;B738
a47a21;GLF3
4010a4;CH60
ae149d;BE9L
a73600;C56X
3ff1d5;SKRA
3ef8aa;GLID
3ee5c1;GLID
a7e429;H500
484ec4;ULAC
40718f;COY2
3d7061;TBM9
a1777b;C510
7c24da;R22
ae269b;AS65
3e7d80;GLID
0d0467;CRJ1
4061d0;FDCT
868690;B773
a8061f;H500
0d035b;LJ35
14ad0c;Y18T
3f0266;GLID
3eeae0;GLID
a7827c;C56X
3eeea7;GLID
3f015a;GLID
ab32ab;B350
a0fcf2;EC35
3feeb9;FK9
ae1446;C30J
3d3a97;JAB4
adfcc0;BE40
a99272;H25B
c073d3;UH1
488d91;EC35
405338;GLID
44452c;PARA
a10876;C501
899160;B738
e487a5;AS65
780a47;A332
04c03c;C208
accd3a;C55B
00b048;C500
a3d074;CL65
47c5c7;B788
c03176;R44
a854da;DA62
424422;A320
4c0e4c;C172
403a57;BALL
3f0103;GLID
a0c808;C25B
406a55;ZZZZ
c07bad;B407
3ee922;GLID
3d1c1f;AC11
3ec872;GLID
a2cd46;T28
48500e;BALL
00ae20;EC20
a51358;GLF4
3960a3;BALL
a1aaf3;H269
a1fba1;FA50
402aa3;YK11
3ee0b5;DG1T
c821cb;AS50
403ca1;ULAC
a07965;R66
a3b111;A320
3d35bd;RV6
3ef2b3;GLID
401ea1;C152
39d013;P208
a79d09;C25B
a1a98c;B06
aab766;H25B
7c26d6;R22
abb440;A319
a445f8;B738
7c43ca;B06
4684e9;ST75
3eee4c;GLID
3c4dd4;CRJ9
a0f9ae;EXEC
43c7d7;H47
39bea6;AS50
4cc2a7;B752
ab3271;B407
3fee5e;FK9
3fed73;FDCT
ae10f0;BE20
4b2800;P28T
7582b7;B350
800672;DH8D
3f0356;GLID
4406e2;C56X
a4a966;MU2
47344f;BDOG
3ef66b;GLID
a1ff85;PC12
44cd8d;C56X
49b4d8;Z26
448a6e;BALL
abcf24;C525
0100dd;B738
440085;EC35
a5375a;F9EX
acda2c;B737
45b264;L29
a739af;P46T
404af6;ULAC
896369;A109
4b1b2c;DR40
040131;A359
a0de40;BE20
a32452;B06
39b921;C208
ad4a41;EN28
392554;C172
abbab5;PRM1
e48238;B737
40719a;BALL
a4b405;PC12
a9969b;A321
3d391e;ULAC
a89b2a;ST75
401f52;GYRO
a8422a;C56X
ad59d4;BE9L
3ec25a;SF25
448a17;PA32
4a4841;R22
3e2397;C525
a2ec36;LJ31
7c472b;UH1
a51903;UH12
a3917e;AS50
4059a0;GLID
46848e;C180
a559de;C55B
45b101;AT72
a08657;R44
3d42af;E300
a90adc;C560
3ee1a5;GLID
484aa8;PULS
4b7fa1;AS32
a5d891;B462
ae093a;C560
4585c7;C172
ab4c70;AS50
3efb3e;GLID
40482c;RV6
a99644;C56X
a24493;B737
c077a5;AS50
3d230d;C172
a59939;HA4T
38508b;C150
3d1817;TOBA
3d050d;E300
a4a6fb;ST75
7c6d26;B738
0641d9;B735
49d27d;R22
3d170b;C172
aa2de4;H500
738a8f;C130
7c2e76;B06
3e2234;D28T
4021bf;TOBA
a9a7df;BE20
4016c9;C150
4408bd;C152
404d4b;SPIT
a9b9dd;C25B
8963ae;B738
406a60;C42
400e9b;G115
a099fd;TBM8
ad210a;GLF2
3d3a2a;C172
49d3c8;C152
4067f5;B788
447d30;B212
a86559;ZZZZ
ac935c;EN28
384d6f;WA50
39998e;BALL
a9f145;TBM8
a2081b;BE9L
3d36d4;C170
c817cb;H500
494109;E55P
a1a1b8;BE20
49d11a;AN2
407396;C172
40608c;WT9
ac61f9;H269
7c26e1;R44
7bb06f;B733
aa830f;C25A
3dd642;ALO2
ae195f;A10
aa7819;SR22
392ae4;A320
3ee14a;GLID
484a4d;BALL
45916e;C172
44d2ea;CH7A
adfc88;BE40
a22e16;BE10
4033e4;FOX
383a0e;C150
4015e4;UNDEFINED
4b5119;GLID
78070e;A332
a24b0a;CRJ9
4045e2;BDOG
3850f1;DR40
43e91c;B752
