T_UPDATE;FLIGHT_ID;RUNWAY;TIME;GATE;STACK
21-7-2020 01:05:23;21010718;36C;21-7-2020 00:47:19;E03;ARTIP
21-7-2020 02:35:14;21010728;06;21-7-2020 02:20:06;E07;ARTIP
21-7-2020 02:50:15;21010738;;21-7-2020 02:43:00;HG0;
21-7-2020 03:35:14;21010731;06;21-7-2020 03:17:22;S69;RIVER
21-7-2020 03:35:15;21010730;06;21-7-2020 03:27:03;S90;ARTIP
21-7-2020 03:50:14;21010733;06;21-7-2020 03:29:21;E20;ARTIP
21-7-2020 04:20:15;21010741;06;21-7-2020 04:07:51;E02;SUGOL
21-7-2020 04:20:15;21010740;06;21-7-2020 04:11:17;E05;ARTIP
21-7-2020 04:35:15;21010748;06;21-7-2020 04:18:53;R81;ARTIP
21-7-2020 04:50:13;21010743;06;21-7-2020 04:32:20;R80;ARTIP
21-7-2020 04:50:13;21010742;06;21-7-2020 04:41:24;E24;ARTIP
21-7-2020 05:05:13;21010759;06;21-7-2020 04:43:44;E08;SUGOL
21-7-2020 05:05:13;21010758;06;21-7-2020 04:45:53;G05;SUGOL
21-7-2020 05:05:13;21010765;06;21-7-2020 04:50:11;G08;SUGOL
21-7-2020 05:05:14;21010756;06;21-7-2020 04:53:45;J85;ARTIP
21-7-2020 05:20:14;21010737;06;21-7-2020 04:59:39;J83;SUGOL
21-7-2020 05:20:14;21010761;06;21-7-2020 05:02:39;F05;SUGOL
21-7-2020 05:20:14;21010764;06;21-7-2020 05:04:51;G03;RIVER
21-7-2020 05:20:14;21010757;06;21-7-2020 05:06:46;R74;ARTIP
21-7-2020 05:20:15;21010762;06;21-7-2020 05:12:06;E19;SUGOL
21-7-2020 05:20:14;21010772;;21-7-2020 05:17:10;;
21-7-2020 05:35:18;21010760;06;21-7-2020 05:20:48;E04;ARTIP
21-7-2020 05:35:18;21010773;06;21-7-2020 05:22:42;F06;RIVER
21-7-2020 05:35:19;21010787;06;21-7-2020 05:24:51;F08;SUGOL
21-7-2020 05:35:19;21010786;06;21-7-2020 05:27:13;E22;SUGOL
21-7-2020 05:50:15;21010794;06;21-7-2020 05:28:41;E17;SUGOL
21-7-2020 05:50:16;21010784;06;21-7-2020 05:30:49;E07;SUGOL
21-7-2020 05:50:16;21010782;06;21-7-2020 05:33:03;S82;ARTIP
21-7-2020 05:35:17;21010785;;21-7-2020 05:33:38;;
21-7-2020 05:50:16;21010780;06;21-7-2020 05:37:40;F07;ARTIP
21-7-2020 05:20:14;21010768;;21-7-2020 05:37:58;;
21-7-2020 05:50:17;21010791;06;21-7-2020 05:39:29;E18;SUGOL
21-7-2020 05:50:17;21010818;06;21-7-2020 05:42:59;G07;SUGOL
21-7-2020 06:05:15;21010788;06;21-7-2020 05:45:00;D12;ARTIP
21-7-2020 06:05:16;21010783;06;21-7-2020 05:46:43;B17;ARTIP
21-7-2020 06:05:16;21010808;06;21-7-2020 05:48:32;F03;SUGOL
21-7-2020 06:05:16;21010750;03;21-7-2020 05:49:27;C5;
21-7-2020 06:05:16;21010793;06;21-7-2020 05:50:51;D03;SUGOL
21-7-2020 06:05:16;21010781;06;21-7-2020 05:52:15;D53;ARTIP
21-7-2020 06:05:17;21010795;06;21-7-2020 05:53:51;F04;ARTIP
21-7-2020 06:05:17;21010792;06;21-7-2020 05:56:09;D10;ARTIP
21-7-2020 06:05:17;21010814;06;21-7-2020 05:57:41;D44;SUGOL
21-7-2020 06:20:13;21010817;06;21-7-2020 05:59:29;D16;SUGOL
21-7-2020 06:20:14;21010807;06;21-7-2020 06:01:16;B27;ARTIP
21-7-2020 06:20:14;21010796;06;21-7-2020 06:02:54;B35;ARTIP
21-7-2020 06:20:14;21010805;06;21-7-2020 06:04:26;B36;ARTIP
21-7-2020 06:20:14;21010812;06;21-7-2020 06:05:48;D49;RIVER
21-7-2020 06:05:16;21010980;;21-7-2020 06:06:52;;
21-7-2020 06:35:14;21010837;21;21-7-2020 06:07:03;B1;
21-7-2020 06:20:14;21010806;06;21-7-2020 06:07:14;D43;ARTIP
21-7-2020 06:20:15;21010811;06;21-7-2020 06:08:52;D56;ARTIP
21-7-2020 05:50:15;21010797;;21-7-2020 06:09:11;;
21-7-2020 06:20:15;21010824;06;21-7-2020 06:10:31;B28;RIVER
21-7-2020 06:20:15;21010821;06;21-7-2020 06:11:50;D02;SUGOL
21-7-2020 06:20:15;21010816;05;21-7-2020 06:12:54;D2;
21-7-2020 06:20:15;21010815;06;21-7-2020 06:13:25;D57;ARTIP
21-7-2020 06:35:14;21010822;06;21-7-2020 06:15:10;A55;SUGOL
21-7-2020 06:35:14;21010810;06;21-7-2020 06:16:23;C11;RIVER
21-7-2020 06:35:15;21010828;06;21-7-2020 06:21:30;J84;SUGOL
21-7-2020 06:35:15;21010823;21;21-7-2020 06:23:08;8;
21-7-2020 06:20:14;21010964;;21-7-2020 06:26:22;;
21-7-2020 06:35:15;21010833;24;21-7-2020 06:27:00;JA;
21-7-2020 06:50:14;21010838;06;21-7-2020 06:28:30;C07;RIVER
21-7-2020 06:50:14;21010825;06;21-7-2020 06:30:08;B16;ARTIP
21-7-2020 06:50:14;21010981;21;21-7-2020 06:31:24;;
21-7-2020 07:05:14;21010979;;21-7-2020 06:39:00;;
21-7-2020 06:50:15;21010944;05;21-7-2020 06:40:16;;
21-7-2020 07:05:12;21010840;06;21-7-2020 06:43:49;C18;ARTIP
21-7-2020 07:05:12;21010844;21;21-7-2020 06:45:27;B1;
21-7-2020 07:05:13;21010802;23;21-7-2020 06:46:00;;
21-7-2020 07:05:13;21010841;06;21-7-2020 06:46:51;R77;ARTIP
21-7-2020 07:05:12;21010859;21;21-7-2020 06:47:01;3;
21-7-2020 07:05:13;21010846;06;21-7-2020 06:51:01;C10;RIVER
21-7-2020 06:35:15;21011040;;21-7-2020 06:51:20;;
21-7-2020 07:05:14;21010853;06;21-7-2020 06:53:58;C13;ARTIP
21-7-2020 07:05:14;21010845;06;21-7-2020 06:55:47;C14;ARTIP
21-7-2020 07:20:15;21010849;06;21-7-2020 06:58:25;B15;ARTIP
21-7-2020 04:05:13;21010873;21;21-7-2020 06:59:42;;
21-7-2020 07:20:15;21010863;06;21-7-2020 06:59:53;B32;ARTIP
21-7-2020 07:20:15;21010972;21;21-7-2020 07:01:21;;
21-7-2020 07:20:15;21010862;06;21-7-2020 07:01:44;B31;RIVER
21-7-2020 07:20:15;21010852;06;21-7-2020 07:02:56;D24;ARTIP
21-7-2020 07:20:16;21010861;06;21-7-2020 07:04:19;H01;SUGOL
21-7-2020 07:20:16;21010850;06;21-7-2020 07:05:58;G02;ARTIP
21-7-2020 07:20:16;21010848;21;21-7-2020 07:06:14;;
21-7-2020 07:20:16;21010854;21;21-7-2020 07:06:18;;
21-7-2020 07:20:16;21010875;06;21-7-2020 07:07:56;D27;SUGOL
21-7-2020 07:20:16;21010870;21;21-7-2020 07:08:20;;
21-7-2020 07:20:16;21010867;06;21-7-2020 07:09:40;B27;ARTIP
21-7-2020 07:20:16;21010899;21;21-7-2020 07:09:54;6;
21-7-2020 07:35:13;21010829;05;21-7-2020 07:10:00;;
21-7-2020 08:05:19;21011034;03;21-7-2020 07:10:04;;
21-7-2020 07:20:16;21010957;21;21-7-2020 07:10:24;;
21-7-2020 07:35:14;21010929;21;21-7-2020 07:11:00;;
21-7-2020 07:20:16;21010900;03;21-7-2020 07:11:20;B3;
21-7-2020 07:20:16;21010883;;21-7-2020 07:12:13;;
21-7-2020 07:20:17;21010864;06;21-7-2020 07:12:26;C09;RIVER
21-7-2020 07:20:17;21010858;23;21-7-2020 07:12:51;;
21-7-2020 07:20:16;21010866;21;21-7-2020 07:12:52;;
21-7-2020 07:35:14;21010898;;21-7-2020 07:14:00;;
21-7-2020 07:20:17;21011046;21;21-7-2020 07:14:55;;
21-7-2020 07:35:13;21010868;06;21-7-2020 07:15:22;B35;ARTIP
21-7-2020 07:35:13;21010882;06;21-7-2020 07:17:56;G04;RIVER
21-7-2020 07:35:14;21010896;06;21-7-2020 07:25:51;C08;ARTIP
21-7-2020 07:35:14;21010884;06;21-7-2020 07:27:45;E06;SUGOL
21-7-2020 07:50:17;21010953;;21-7-2020 07:30:00;;
21-7-2020 07:50:15;21010876;06;21-7-2020 07:31:48;G09;ARTIP
21-7-2020 07:50:15;21010877;06;21-7-2020 07:34:01;R82;ARTIP
21-7-2020 07:50:15;21011047;03;21-7-2020 07:34:01;D3;
21-7-2020 07:50:16;21010917;06;21-7-2020 07:36:12;H05;SUGOL
21-7-2020 07:20:16;21011109;;21-7-2020 07:37:41;;
21-7-2020 07:50:16;21010880;06;21-7-2020 07:38:22;C12;ARTIP
21-7-2020 07:50:16;21010911;03;21-7-2020 07:40:36;8;
21-7-2020 07:50:17;21010938;04;21-7-2020 07:43:17;GL;RIVER
21-7-2020 07:20:16;21011043;;21-7-2020 07:45:41;;
21-7-2020 06:35:14;21010941;21;21-7-2020 07:47:38;;
21-7-2020 08:05:22;21010943;04;21-7-2020 07:57:18;GL;SUGOL
21-7-2020 08:05:19;21010939;;21-7-2020 07:59:56;;
21-7-2020 04:35:14;21010908;;21-7-2020 08:05:00;;
21-7-2020 08:20:16;21011003;06;21-7-2020 08:05:17;F03;SUGOL
21-7-2020 08:20:17;21010843;23;21-7-2020 08:07:00;;
21-7-2020 08:20:16;21011169;25;21-7-2020 08:07:12;;
21-7-2020 08:05:21;21011196;;21-7-2020 08:07:23;;
21-7-2020 07:20:16;21011191;;21-7-2020 08:07:26;;
21-7-2020 07:20:16;21011193;;21-7-2020 08:07:26;;
21-7-2020 08:20:17;21010945;06;21-7-2020 08:07:38;E24;SUGOL
21-7-2020 08:20:18;21010897;05;21-7-2020 08:09:00;;
21-7-2020 08:20:17;21011168;25;21-7-2020 08:09:22;;
21-7-2020 08:20:18;21010955;06;21-7-2020 08:10:49;D16;ARTIP
21-7-2020 08:05:22;21010982;;21-7-2020 08:11:00;;
21-7-2020 08:35:15;21011135;05;21-7-2020 08:11:00;;
21-7-2020 07:20:16;21011195;;21-7-2020 08:12:26;;
21-7-2020 07:20:16;21011197;;21-7-2020 08:12:26;;
21-7-2020 08:20:18;21010978;06;21-7-2020 08:12:51;C10;RIVER
21-7-2020 08:35:15;21010905;05;21-7-2020 08:14:00;;
21-7-2020 08:20:15;21011190;;21-7-2020 08:14:11;;
21-7-2020 08:20:18;21010988;06;21-7-2020 08:14:25;;
21-7-2020 08:05:22;21010992;;21-7-2020 08:14:33;;
21-7-2020 08:35:15;21010963;06;21-7-2020 08:14:45;D28;SUGOL
21-7-2020 08:20:16;21011192;;21-7-2020 08:16:55;;
21-7-2020 08:35:16;21010942;03;21-7-2020 08:17:00;AZ;
21-7-2020 08:35:16;21010974;06;21-7-2020 08:18:27;S87;ARTIP
21-7-2020 08:20:16;21011198;;21-7-2020 08:18:48;;
21-7-2020 08:35:16;21011004;03;21-7-2020 08:20:14;1;
21-7-2020 08:35:16;21011185;25;21-7-2020 08:20:15;;
21-7-2020 08:35:17;21010994;05;21-7-2020 08:21:00;;
21-7-2020 04:20:14;21010889;;21-7-2020 08:25:00;;
21-7-2020 07:35:14;21010968;;21-7-2020 08:26:00;;
21-7-2020 07:35:12;21011212;;21-7-2020 08:26:00;;
21-7-2020 08:50:15;21010886;06;21-7-2020 08:28:00;;
21-7-2020 08:35:18;21010997;04;21-7-2020 08:28:08;GL;RIVER
21-7-2020 08:05:21;21010996;;21-7-2020 08:30:41;;
21-7-2020 08:50:16;21011032;06;21-7-2020 08:36:07;G03;SUGOL
21-7-2020 07:35:12;21011208;;21-7-2020 08:36:58;;
21-7-2020 07:35:12;21011209;;21-7-2020 08:36:58;;
21-7-2020 07:35:12;21011213;;21-7-2020 08:36:58;;
21-7-2020 08:50:16;21011061;04;21-7-2020 08:38:00;GL;
21-7-2020 06:20:14;21010970;05;21-7-2020 08:40:00;;
21-7-2020 08:50:17;21011045;23;21-7-2020 08:40:00;;
21-7-2020 09:05:15;21011246;;21-7-2020 08:40:00;;
21-7-2020 07:20:17;21011031;;21-7-2020 08:43:00;;
21-7-2020 07:35:12;21011071;;21-7-2020 08:44:00;;
21-7-2020 08:50:18;21011175;05;21-7-2020 08:44:13;;
21-7-2020 05:20:13;21010989;;21-7-2020 08:45:00;;
21-7-2020 05:35:17;21011013;;21-7-2020 08:45:00;;
21-7-2020 05:35:17;21011020;;21-7-2020 08:45:00;;
21-7-2020 09:05:14;21011227;05;21-7-2020 08:47:00;;
21-7-2020 09:05:14;21011249;06;21-7-2020 08:47:00;;
21-7-2020 09:20:18;21011053;;21-7-2020 08:50:00;;
21-7-2020 08:50:15;21011058;;21-7-2020 08:50:06;;
21-7-2020 09:05:14;21011044;21;21-7-2020 08:51:00;;
