T_UPDATE;FLIGHT_ID;RUNWAY;TIME;GATE;STACK
5-8-2019 06:05;20453937;18R;5-8-2019 05:56;A53;SUGOL
5-8-2019 06:05;20453924;18C;5-8-2019 05:56;A42;ARTIP
5-8-2019 06:05;20454393;24;5-8-2019 05:58;;null
5-8-2019 06:20;20453907;18C;5-8-2019 05:58;H05;RIVER
5-8-2019 06:20;20453945;18R;5-8-2019 05:58;D05;SUGOL
5-8-2019 06:20;20453898;18C;5-8-2019 05:59;B17;ARTIP
5-8-2019 06:20;20453960;18R;5-8-2019 06:00;D14;RIVER
5-8-2019 06:20;20453802;18C;5-8-2019 06:01;E05;ARTIP
5-8-2019 06:20;20454309;23;5-8-2019 06:02;;null
5-8-2019 06:20;20453920;18R;5-8-2019 06:02;D23;SUGOL
5-8-2019 06:20;20453954;18R;5-8-2019 06:04;E03;SUGOL
5-8-2019 06:20;20453922;18C;5-8-2019 06:04;B27;ARTIP
5-8-2019 06:20;20453930;18R;5-8-2019 06:05;D57;SUGOL
5-8-2019 06:20;20453936;18C;5-8-2019 06:06;C07;RIVER
5-8-2019 06:20;20453958;21;5-8-2019 06:07;;null
5-8-2019 06:05;20454004;;5-8-2019 06:07;;null
5-8-2019 06:20;20453988;18R;5-8-2019 06:07;D03;SUGOL
5-8-2019 06:20;20453944;18C;5-8-2019 06:08;C05;RIVER
5-8-2019 06:20;20453959;18C;5-8-2019 06:09;D52;RIVER
5-8-2019 06:20;20453970;18R;5-8-2019 06:09;J85;SUGOL
5-8-2019 06:20;20453921;18C;5-8-2019 06:11;B28;ARTIP
5-8-2019 06:20;20453943;18R;5-8-2019 06:11;H07;SUGOL
5-8-2019 06:20;20453965;18C;5-8-2019 06:12;A64;RIVER
5-8-2019 06:35;20453997;18R;5-8-2019 06:13;G08;SUGOL
5-8-2019 06:35;20453956;18C;5-8-2019 06:14;H04;ARTIP
5-8-2019 06:20;20454016;21;5-8-2019 06:14;;null
5-8-2019 06:35;20453919;18R;5-8-2019 06:15;D16;SUGOL
5-8-2019 06:35;20453974;18C;5-8-2019 06:15;B36;RIVER
5-8-2019 06:35;20453962;18C;5-8-2019 06:17;C16;ARTIP
5-8-2019 06:35;20453951;18R;5-8-2019 06:17;A75;SUGOL
5-8-2019 06:35;20453978;18R;5-8-2019 06:19;A56;SUGOL
5-8-2019 06:35;20453923;18C;5-8-2019 06:19;E09;ARTIP
5-8-2019 06:35;20453996;21;5-8-2019 06:19;;null
5-8-2019 06:05;20453925;;5-8-2019 06:20;;null
5-8-2019 06:35;20453986;24;5-8-2019 06:20;JA;null
5-8-2019 06:35;20453878;22;5-8-2019 06:20;GL;SUGOL
5-8-2019 06:35;20453967;18R;5-8-2019 06:20;D41;SUGOL
5-8-2019 06:35;20453950;18C;5-8-2019 06:21;C15;ARTIP
5-8-2019 06:35;20453949;18R;5-8-2019 06:21;A63;SUGOL
5-8-2019 06:35;20453952;18C;5-8-2019 06:22;A54;ARTIP
5-8-2019 06:35;20453932;21;5-8-2019 06:22;;null
5-8-2019 06:35;20454000;3;5-8-2019 06:23;;null
5-8-2019 06:35;20453975;18R;5-8-2019 06:23;C18;RIVER
5-8-2019 06:35;20453969;18C;5-8-2019 06:23;C10;ARTIP
5-8-2019 06:35;20453968;18C;5-8-2019 06:25;D44;RIVER
5-8-2019 06:35;20453993;18R;5-8-2019 06:25;A61;SUGOL
5-8-2019 06:35;20453966;18C;5-8-2019 06:26;C12;ARTIP
5-8-2019 06:35;20453984;18R;5-8-2019 06:26;D31;SUGOL
5-8-2019 06:35;20453985;18C;5-8-2019 06:28;E07;ARTIP
5-8-2019 06:35;20453963;18R;5-8-2019 06:28;E77;SUGOL
5-8-2019 06:35;20454023;21;5-8-2019 06:29;;null
5-8-2019 06:50;20453992;18C;5-8-2019 06:30;C08;ARTIP
5-8-2019 06:50;20454015;18R;5-8-2019 06:30;C09;RIVER
5-8-2019 06:50;20453999;18C;5-8-2019 06:31;A44;ARTIP
5-8-2019 06:50;20454044;24;5-8-2019 06:32;JA;null
5-8-2019 06:50;20453991;18R;5-8-2019 06:32;B24;RIVER
5-8-2019 06:50;20454012;18C;5-8-2019 06:33;A41;ARTIP
5-8-2019 06:50;20454021;18R;5-8-2019 06:33;B20;RIVER
5-8-2019 06:50;20453994;18C;5-8-2019 06:35;E04;ARTIP
5-8-2019 06:50;20454020;18R;5-8-2019 06:35;B16;RIVER
5-8-2019 06:50;20453971;18R;5-8-2019 06:36;D48;SUGOL
5-8-2019 06:50;20453983;18C;5-8-2019 06:37;D54;RIVER
5-8-2019 06:50;20454042;18R;5-8-2019 06:38;E02;SUGOL
5-8-2019 06:50;20454022;18C;5-8-2019 06:38;B32;RIVER
5-8-2019 06:50;20453953;18R;5-8-2019 06:40;D53;SUGOL
5-8-2019 06:50;20454035;24;5-8-2019 06:40;JA;null
5-8-2019 06:50;20454031;18C;5-8-2019 06:40;D18;ARTIP
5-8-2019 06:50;20453957;18R;5-8-2019 06:42;D49;SUGOL
5-8-2019 06:50;20454017;18C;5-8-2019 06:42;C06;ARTIP
5-8-2019 07:05;20454013;18R;5-8-2019 06:43;F08;SUGOL
5-8-2019 07:05;20454045;18C;5-8-2019 06:44;A32;RIVER
5-8-2019 07:05;20454026;18C;5-8-2019 06:45;D25;ARTIP
5-8-2019 07:05;20454043;18R;5-8-2019 06:46;R82;SUGOL
5-8-2019 07:05;20453998;18C;5-8-2019 06:47;E08;SUGOL
5-8-2019 07:05;20454065;18R;5-8-2019 06:48;D10;SUGOL
5-8-2019 07:05;20454091;18R;5-8-2019 06:50;D04;SUGOL
5-8-2019 07:05;20454034;18C;5-8-2019 06:52;C13;RIVER
5-8-2019 07:05;20453973;18R;5-8-2019 06:53;B91;SUGOL
5-8-2019 07:05;20454066;21;5-8-2019 06:54;;null
5-8-2019 07:05;20454014;18R;5-8-2019 06:55;D29;SUGOL
5-8-2019 07:05;20454076;3;5-8-2019 06:56;;null
5-8-2019 07:05;20454036;18C;5-8-2019 06:56;B31;ARTIP
5-8-2019 06:35;20454090;27;5-8-2019 06:57;;null
5-8-2019 07:05;20453995;18R;5-8-2019 06:57;D94;SUGOL
5-8-2019 07:05;20453982;18C;5-8-2019 06:57;B27;ARTIP
5-8-2019 07:20;20454039;18R;5-8-2019 06:58;H03;SUGOL
5-8-2019 07:05;20454474;27;5-8-2019 06:59;;null
5-8-2019 07:20;20454027;18C;5-8-2019 06:59;B13;RIVER
5-8-2019 07:20;20454038;18R;5-8-2019 07:00;H01;SUGOL
5-8-2019 07:20;20454055;18C;5-8-2019 07:01;B23;ARTIP
5-8-2019 07:20;20454011;18R;5-8-2019 07:02;D28;SUGOL
5-8-2019 07:20;20454025;21;5-8-2019 07:02;;null
5-8-2019 07:20;20454074;18C;5-8-2019 07:03;B17;ARTIP
5-8-2019 07:20;20454040;18R;5-8-2019 07:04;A55;SUGOL
5-8-2019 07:20;20454079;21;5-8-2019 07:06;;null
5-8-2019 07:20;20454064;18R;5-8-2019 07:06;A52;SUGOL
5-8-2019 07:20;20454052;18C;5-8-2019 07:06;B28;ARTIP
5-8-2019 07:20;20454060;3;5-8-2019 07:07;;null
5-8-2019 07:20;20454037;18R;5-8-2019 07:08;H05;SUGOL
5-8-2019 06:50;20454355;24R;5-8-2019 07:09;;null
5-8-2019 07:20;20454073;18C;5-8-2019 07:09;D24;ARTIP
5-8-2019 06:50;20454061;;5-8-2019 07:10;;null
5-8-2019 07:20;20454075;18R;5-8-2019 07:11;H04;SUGOL
5-8-2019 07:20;20454058;18C;5-8-2019 07:12;D22;ARTIP
5-8-2019 07:35;20454072;18C;5-8-2019 07:13;B35;ARTIP
5-8-2019 07:35;20454108;22;5-8-2019 07:14;GL;ARTIP
5-8-2019 07:20;20454121;;5-8-2019 07:15;;null
5-8-2019 07:35;20454059;18R;5-8-2019 07:15;A51;SUGOL
5-8-2019 07:35;20454116;24;5-8-2019 07:15;B2;null
5-8-2019 07:35;20454125;18C;5-8-2019 07:17;E18;ARTIP
5-8-2019 07:35;20454057;18R;5-8-2019 07:18;H06;SUGOL
5-8-2019 07:35;20454120;24;5-8-2019 07:19;C1;null
5-8-2019 07:35;20454100;21;5-8-2019 07:19;;null
5-8-2019 07:35;20454088;18R;5-8-2019 07:20;D26;SUGOL
5-8-2019 07:20;20454119;;5-8-2019 07:20;;null
5-8-2019 07:35;20454101;18C;5-8-2019 07:21;G02;ARTIP
5-8-2019 07:35;20454067;18R;5-8-2019 07:22;H02;SUGOL
5-8-2019 07:35;20454077;18C;5-8-2019 07:22;D47;RIVER
5-8-2019 07:35;20454105;18C;5-8-2019 07:25;B36;ARTIP
5-8-2019 07:35;20454078;18C;5-8-2019 07:26;B27;RIVER
5-8-2019 07:35;20454141;21;5-8-2019 07:27;A1;null
5-8-2019 07:35;20454129;21;5-8-2019 07:27;;null
5-8-2019 07:35;20454123;18C;5-8-2019 07:28;B16;SUGOL
5-8-2019 07:50;20454093;18C;5-8-2019 07:29;B24;ARTIP
5-8-2019 07:50;20454122;18C;5-8-2019 07:31;G05;SUGOL
5-8-2019 07:50;20454080;18R;5-8-2019 07:33;C05;RIVER
