T_UPDATE;FLIGHT_ID;RUNWAY;TIME;GATE;SID;FLOW_CONTROL_STATE;CTOT
5-8-2019 05:35;20453851;18L;5-8-2019 05:20;C12;REN1E;CLEARED;null
5-8-2019 05:35;20453905;24;5-8-2019 05:21;D3;TLP2B;CLEARED;null
5-8-2019 05:35;20453858;18L;5-8-2019 05:22;B23;ARN3E;CLEARED;null
5-8-2019 05:35;20453896;18L;5-8-2019 05:23;D03;REN1E;NOT_RESTRICTED;5-8-2019 05:24
5-8-2019 05:35;20453892;24;5-8-2019 05:24;C09;KDD1S;CLEARED;null
5-8-2019 05:35;20453853;18L;5-8-2019 05:25;B20;AND2E;CLEARED;null
5-8-2019 05:35;20453881;24;5-8-2019 05:26;D26;VAL2S;CLEARED;null
5-8-2019 05:35;20454309;23;5-8-2019 05:26;J;;CLEARED;null
5-8-2019 05:35;20453929;21;5-8-2019 05:26;;VEL3K;CLEARED;null
5-8-2019 05:35;20453888;24;5-8-2019 05:27;H03;BER1S;CLEARED;null
5-8-2019 05:35;20453908;18L;5-8-2019 05:28;C04;AND2E;CLEARED;null
5-8-2019 05:35;20453848;24;5-8-2019 05:28;J84;KDD1S;NOT_RESTRICTED;5-8-2019 05:18
5-8-2019 05:35;20453883;21;5-8-2019 05:28;;VEL3K;CLEARED;null
5-8-2019 05:50;20453917;18L;5-8-2019 05:29;H01;REN1E;CLEARED;null
5-8-2019 05:50;20453926;21;5-8-2019 05:30;A1;LNO2B;CLEARED;null
5-8-2019 05:50;20453884;24;5-8-2019 05:30;D23;BER1S;CLEARED;null
5-8-2019 05:50;20453891;21;5-8-2019 05:30;;RON2K;NOT_RESTRICTED;5-8-2019 05:25
5-8-2019 05:50;20453903;18L;5-8-2019 05:30;H07;REN1E;NOT_RESTRICTED;5-8-2019 05:31
5-8-2019 05:50;20453882;24;5-8-2019 05:31;G08;KDD1S;NOT_RESTRICTED;5-8-2019 05:32
5-8-2019 05:50;20453868;18L;5-8-2019 05:32;B16;REN1E;CLEARED;null
5-8-2019 05:50;20453902;24;5-8-2019 05:33;D16;VAL2S;CLEARED;null
5-8-2019 05:50;20453928;18L;5-8-2019 05:33;D44;ARN3E;CLEARED;null
5-8-2019 05:50;20453833;18L;5-8-2019 05:35;D47;ARN3E;CLEARED;null
5-8-2019 05:50;20453938;24;5-8-2019 05:35;B3;WDY1B;CLEARED;null
5-8-2019 05:50;20453939;21;5-8-2019 05:36;;VEL3K;CLEARED;null
5-8-2019 05:50;20453910;18L;5-8-2019 05:37;B17;REN1E;NOT_RESTRICTED;5-8-2019 05:32
5-8-2019 05:50;20453904;24;5-8-2019 05:38;D1;WDY1B;NOT_RESTRICTED;5-8-2019 05:30
5-8-2019 05:50;20453927;24;5-8-2019 05:41;D04;REN1S;NOT_RESTRICTED;5-8-2019 05:45
5-8-2019 05:50;20453925;3;5-8-2019 05:43;;GIK2L;CLEARED;null
5-8-2019 05:50;20453941;24;5-8-2019 05:43;B13;KDD1S;CLEARED;null
5-8-2019 06:05;20453909;24;5-8-2019 05:45;G02;REN1S;NOT_RESTRICTED;5-8-2019 05:41
5-8-2019 06:05;20454393;24;5-8-2019 05:47;X;;CLEARED;null
5-8-2019 06:05;20453940;22;5-8-2019 05:48;GD;AND2G;CLEARED;null
5-8-2019 06:05;20453874;24;5-8-2019 05:49;D56;REN1S;NOT_RESTRICTED;5-8-2019 05:53
5-8-2019 06:05;20454004;3;5-8-2019 05:50;;ATR2L;CLEARED;null
5-8-2019 06:05;20453947;24;5-8-2019 05:50;A31;BER1S;CLEARED;null
5-8-2019 06:05;20453946;24;5-8-2019 05:52;G05;ARN2S;CLEARED;5-8-2019 05:58
5-8-2019 06:05;20453912;24;5-8-2019 05:54;C15;REN1S;NOT_RESTRICTED;5-8-2019 05:55
5-8-2019 06:05;20453981;24;5-8-2019 05:56;A44;KDD1S;CLEARED;null
5-8-2019 06:05;20453976;24;5-8-2019 05:56;A2;WDY1B;NOT_RESTRICTED;5-8-2019 06:00
5-8-2019 06:05;20453961;24;5-8-2019 05:57;D28;VAL2S;CLEARED;null
5-8-2019 03:20;20454002;;5-8-2019 06:00;;;CLEARED;null
5-8-2019 06:20;20454000;;5-8-2019 06:00;;;CLEARED;null
5-8-2019 06:20;20454003;24;5-8-2019 06:00;B31;REN1S;CLEARED;null
5-8-2019 06:20;20453890;24;5-8-2019 06:02;D05;BER1S;CLEARED;null
5-8-2019 06:20;20454005;24;5-8-2019 06:03;B36;REN1S;CLEARED;null
5-8-2019 06:20;20454006;24;5-8-2019 06:05;C07;KDD1S;CLEARED;null
5-8-2019 06:20;20453911;24;5-8-2019 06:06;B27;REN1S;NOT_RESTRICTED;5-8-2019 06:06
5-8-2019 06:20;20453901;24;5-8-2019 06:08;D25;REN1S;NOT_RESTRICTED;5-8-2019 06:06
5-8-2019 06:20;20453948;21;5-8-2019 06:08;;LNO6K;;5-8-2019 06:14
5-8-2019 06:20;20454062;22;5-8-2019 06:09;GD;KDD1G;CLEARED;null
5-8-2019 06:20;20453989;24;5-8-2019 06:10;H06;REN1S;NOT_RESTRICTED;5-8-2019 06:08
5-8-2019 06:20;20454009;21;5-8-2019 06:11;;LNO6K;NOT_RESTRICTED;5-8-2019 06:10
5-8-2019 06:20;20453979;24;5-8-2019 06:11;D52;KDD1S;CLEARED;null
5-8-2019 06:20;20454001;24;5-8-2019 06:13;A75;BER1S;CLEARED;null
5-8-2019 06:35;20453980;24;5-8-2019 06:15;B28;AND1S;CLEARED;null
5-8-2019 06:35;20454007;21;5-8-2019 06:16;;LNO6K;;5-8-2019 06:22
5-8-2019 06:35;20454024;24;5-8-2019 06:16;C18;KDD1S;NOT_RESTRICTED;5-8-2019 06:18
5-8-2019 06:35;20453894;24;5-8-2019 06:18;B32;REN1S;NOT_RESTRICTED;5-8-2019 06:22
5-8-2019 06:35;20454008;24;5-8-2019 06:19;D48;BER1S;CLEARED;null
5-8-2019 06:35;20454028;24;5-8-2019 06:21;A56;BER1S;CLEARED;null
5-8-2019 06:35;20454032;24;5-8-2019 06:23;B23;AND1S;CLEARED;null
5-8-2019 06:35;20454019;24;5-8-2019 06:24;C08;REN1S;NOT_RESTRICTED;5-8-2019 06:22
5-8-2019 06:35;20454029;24;5-8-2019 06:25;D54;VAL2S;CLEARED;null
5-8-2019 06:35;20453990;21;5-8-2019 06:26;;VEL3K;CLEARED;null
5-8-2019 06:35;20454033;24;5-8-2019 06:27;A62;AND1S;CLEARED;null
5-8-2019 06:50;20454030;24;5-8-2019 06:29;H03;REN1S;CLEARED;null
5-8-2019 06:50;20454041;24;5-8-2019 06:30;B24;KDD1S;CLEARED;null
5-8-2019 06:50;20454060;;5-8-2019 06:30;;;CLEARED;null
5-8-2019 06:50;20454018;24;5-8-2019 06:31;D12;REN1S;NOT_RESTRICTED;5-8-2019 06:30
5-8-2019 06:50;20454273;22;5-8-2019 06:32;GD;;CLEARED;null
