T_UPDATE;FLIGHT_ID;SFPL_ID;CALLSIGN;REGISTRATION;OPERATOR;TYPE_OF_TRANSPONDER;SSR;FLIGHT_RULES;FLIGHT_TYPE;T0;ICAO_ACTYPE;WTC;ADEP;DEST;TAS;RFL;NFL;XFL;CFMU_DELAY;CONTROL;STATUS;FPOS_TRACK_ID
12-9-2021 10:50:13;21519612;1461;EJU16YB;OELQT;EJU;L;1096;I;OUTBOUND;12-9-2021 06:40:00;A319;M;EHAM;LEAL;429;350;null;260;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 10:50:17;21519613;1462;KLM1870;PHEXR;KLM;L;2130;I;INBOUND;12-9-2021 06:41:01;E75L;M;EDDS;EHAM;411;380;260;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 09:50:15;21519614;1463;DAL73;N507DN;DAL;L;1114;I;OUTBOUND;12-9-2021 06:41:38;A359;H;EHAM;KATL;485;360;null;240;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 10:50:14;21519615;1464;KLM32S;PHEZX;KLM;H;1879;I;INBOUND;12-9-2021 06:42:01;E190;M;EKBI;EHAM;434;260;260;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 10:05:16;21519616;1465;DAL259;N809NW;DAL;L;1100;I;OUTBOUND;12-9-2021 06:42:37;A333;H;EHAM;KBOS;469;320;null;240;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:05:17;21519617;1466;KLM28M;PHEZB;KLM;H;512;I;INBOUND;12-9-2021 06:43:01;E190;M;EDDV;EHAM;380;220;220;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 10:50:13;21519618;1467;LNTMJ;null;null;S;125;I;REGIONAL;12-9-2021 06:43:24;PA46;L;EHTE;ENTO;160;100;null;100;0;null;OBSERVED,CONTROLLED;0
12-9-2021 10:20:13;21519619;1468;DAL143;N410DZ;DAL;L;1105;I;OUTBOUND;12-9-2021 06:44:20;A339;H;EHAM;KSEA;478;340;null;240;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:05:11;21519620;1469;KLM95A;PHEXO;KLM;L;512;I;OUTBOUND;12-9-2021 06:45:01;E75L;M;EHAM;LFLL;420;350;null;250;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 12:05:10;21519621;1470;PHKAX;null;null;S;null;V;REGIONAL;12-9-2021 06:45:01;P28A;L;EHLE;EHLE;105;0;null;null;0;null;CONTROLLED;0
12-9-2021 10:50:11;21519622;1471;KLM1085;PHEXM;KLM;L;3255;I;OUTBOUND;12-9-2021 06:45:01;E75L;M;EHAM;EICK;419;360;null;240;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:20:17;21519623;1472;HNL22A;PHEUF;HNL;E;2258;I;REGIONAL;12-9-2021 06:45:01;A139;L;EHKD;EHFB;140;20;null;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 12:50:16;21519624;1473;PHWVO;null;null;E;null;V;REGIONAL;12-9-2021 06:45:01;C172;L;EHLE;EHTX;110;0;null;null;0;null;CONTROLLED;0
12-9-2021 10:50:12;21519625;1474;TRA916A;PHHZL;TRA;L;512;I;INBOUND;12-9-2021 06:46:01;B738;M;LIEO;EHAM;447;380;200;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 10:50:16;21519626;1475;SOW1;OEFMU;SOW;S;512;I;INBOUND;12-9-2021 06:47:01;C525;L;LOWW;EHAM;355;360;260;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:05:11;21519627;1476;EZS1043;HBJXD;EZS;L;512;I;INBOUND;12-9-2021 06:49:01;A320;M;LFSB;EHAM;393;220;200;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:05:16;21519628;1477;KLM903;PHBCK;KLM;L;1645;I;OUTBOUND;12-9-2021 06:50:00;B738;M;EHAM;UUEE;446;370;null;250;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 10:50:11;21519629;1478;NJE077H;CSLTE;NJE;L;2888;I;REGIONAL;12-9-2021 06:50:00;C68A;M;LEIB;EHGG;433;430;260;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:05:14;21519630;1479;TFL365;PHTFL;TFL;L;1120;I;OUTBOUND;12-9-2021 06:50:00;B788;H;EHAM;TNCC;488;380;null;240;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 12:35:11;21519631;1480;DEHKP;null;null;S;null;V;REGIONAL;12-9-2021 06:50:00;P28A;L;EDWN;EHTE;103;0;null;null;0;null;null;0
