T_UPDATE;FLIGHT_ID;RUNWAY;TIME;GATE;SID;FLOW_CONTROL_STATE;CTOT
12-9-2021 01:05:18;21519110;HEL;12-9-2021 00:05:00;null;null;CLEARED;null
12-9-2021 01:20:10;21519104;24;12-9-2021 01:00:13;R77;REN2S;CLEARED;null
12-9-2021 03:05:13;21519108;24;12-9-2021 02:50:55;E07;REN2S;CLEARED;null
12-9-2021 03:50:10;21519113;24;12-9-2021 03:32:36;C05;KDD3S;CLEARED;null
12-9-2021 03:50:10;21519118;24;12-9-2021 03:37:29;D49;REN2S;NOT_RESTRICTED;12-9-2021 03:40:00
12-9-2021 03:50:11;21519120;24;12-9-2021 03:39:10;D04;REN2S;CLEARED;null
12-9-2021 03:50:11;21519116;24;12-9-2021 03:40:36;C09;KDD3S;CLEARED;null
12-9-2021 04:05:13;21519117;24;12-9-2021 03:45:47;D56;KDD3S;CLEARED;null
12-9-2021 04:20:10;21519123;24;12-9-2021 04:03:47;D10;KDD3S;CLEARED;null
12-9-2021 04:35:10;21519124;24;12-9-2021 04:14:43;D54;KDD3S;CLEARED;null
12-9-2021 04:35:11;21519121;24;12-9-2021 04:26:04;C12;KDD3S;CLEARED;null
12-9-2021 04:50:10;21519132;24;12-9-2021 04:28:45;D51;KDD3S;CLEARED;null
12-9-2021 04:50:11;21519128;24;12-9-2021 04:30:43;C08;REN2S;CLEARED;null
12-9-2021 04:50:11;21519126;24;12-9-2021 04:36:20;D55;KDD3S;CLEARED;null
12-9-2021 05:05:12;21519146;24;12-9-2021 04:47:49;R81;REN2S;CLEARED;null
12-9-2021 05:05:12;21519129;24;12-9-2021 04:50:34;C11;REN2S;CLEARED;12-9-2021 04:13:00
12-9-2021 05:05:13;21519158;24;12-9-2021 04:53:10;B20;AND2S;CLEARED;null
12-9-2021 05:05:13;21519142;24;12-9-2021 04:54:43;D57;KDD3S;CLEARED;null
12-9-2021 05:05:13;21519152;24;12-9-2021 04:57:03;C13;KDD3S;CLEARED;null
12-9-2021 02:20:11;21519176;null;12-9-2021 05:00:00;null;null;CLEARED;null
12-9-2021 05:20:12;21519131;24;12-9-2021 05:02:17;D43;KDD3S;CLEARED;12-9-2021 04:30:00
12-9-2021 05:20:12;21519173;24;12-9-2021 05:04:06;B36;REN2S;CLEARED;null
